date,excess_pct
20150121,-0.14472946396596376
20150122,0.5490940079176552
20150123,0.2976411760158584
20150126,0.28730097694947776
20150127,-0.2056435044724385
20150128,-0.2855539437847132
20150129,-0.2818178829294844
20150130,-0.04166789232349588
20150202,-0.0896861428525188
20150203,0.018450438849440143
20150204,0.34301296619947547
20150205,0.34533957308553354
20150206,0.37215645509154466
20150209,0.7537352769389754
20150210,0.4674369864422989
20150211,0.9485732965935929
20150212,0.4084072205121436
20150213,0.5574187269456472
20150216,0.3015415139716384
20150217,0.6298997229153338
20150223,0.4529380853013809
20150224,0.992033470200298
20150225,0.5924697444200127
20150226,0.20584247824996837
20150227,0.24826329759581567
20150302,-0.26504004108813145
20150303,-0.16939454882268645
20150304,0.23871290388089572
20150305,0.4404877218867158
20150306,0.5424968214922528
20150309,0.4819789151905165
20150310,0.35963372421042683
20150311,-0.21950303308676755
20150312,-0.6462901108219251
20150313,-0.2244996647081985
20150316,-0.12389815990977682
20150317,-0.2124048170090933
20150318,0.3393632887801523
20150319,0.40170046112306057
20150320,0.7455567788872441
20150323,0.57242689048117
20150324,0.8010598368937185
20150325,0.8871548930795009
20150326,1.020149106891538
20150327,1.056476897586497
20150330,0.867473458972249
20150331,0.42142948675281655
20150401,-0.13504559251267434
20150402,-0.5558633720714656
20150403,-0.6818198202969867
20150406,-0.9512949587845858
20150407,-0.9095722419382732
20150408,-0.6289395589675544
20150409,-0.6687944412200175
20150410,-0.8441217898989282
20150413,-0.7514299529776585
20150414,-0.3040385661593903
20150415,-0.03841452635320952
20150416,0.38508583048738676
20150417,0.016453026417408312
20150420,0.11978199076000728
20150421,0.13060420977595255
20150422,-0.09223992906177203
20150423,-0.2856642520165402
20150424,0.3737062581235713
20150427,-0.07393449179839529
20150428,0.03695535075599121
20150429,0.07856099674157013
20150430,-0.029726035670892936
20150504,-0.1454197351009059
20150506,0.4275819948790902
20150507,0.5885293829084528
20150508,0.21945793907079203
20150511,0.1181249853162919
20150512,0.7171729512468006
20150513,0.8612672374057324
20150514,0.09896645219387401
20150515,-0.31911889761717815
20150518,-0.6614154414800301
20150519,-0.7766402487668024
20150520,-0.39882283595335366
20150521,-0.4860659008183415
20150522,0.27635725790319227
20150526,0.7559151458318321
20150527,0.9048762130729376
20150528,1.1645583574353244
20150529,1.0104335591078883
20150601,0.550077257924714
20150602,-0.22977704958808653
20150603,0.5770313845427375
20150604,0.7667289704033144
20150605,0.7347336477032252
20150608,-0.023357778351267733
20150609,0.7152369817538908
20150610,0.6863231921306441
20150611,1.1059252726430988
20150612,0.11276077215964508
20150615,0.014571657367280721
20150616,-0.1993524067704664
20150617,0.18970674438224133
20150618,0.4502817083217874
20150619,0.14836887667428478
20150622,0.17148349904818672
20150623,0.11220353994783966
20150624,-0.02383451969158401
20150625,-0.2657426256084322
20150626,0.4137661002543156
20150629,0.7620581217756244
20150630,0.10454757163918371
20150701,0.02605141156833124
20150702,0.09575458892430255
20150703,0.08045969833300681
20150706,0.14215355411793187
20150707,0.9899921383006269
20150708,0.9304428007842098
20150709,1.9703039613152482
20150710,1.8583644948568008
20150713,2.050485024629001
20150714,1.8273802552996212
20150715,1.9144066231313341
20150716,0.8052828201380811
20150717,-0.3709971358869236
20150720,-0.2606591865799843
20150721,-0.29347612395942146
20150722,-0.2426950860093866
20150723,-0.2790658157327055
20150724,-0.14310959798783962
20150727,-0.2466203188252729
20150728,0.005652517155374515
20150729,-0.08779017655097077
20150730,0.5152471284152984
20150731,0.37308450837586227
20150803,0.3305247597982661
20150804,0.42548085920880097
20150805,-0.29123654060366455
20150806,-0.025263279129228433
20150807,0.32796278060344
20150810,-0.015090598496930063
20150811,-0.0845226295248267
20150812,-0.7104408966198372
20150813,-0.7160376659873222
20150817,-1.0516861519268677
20150818,-0.953962886088549
20150819,-0.17742700740617023
20150820,0.24601803280080903
20150821,0.08031982057536347
20150824,0.7604926005854598
20150825,0.3656253093850106
20150826,0.11499089118924788
20150827,0.07230458617878033
20150828,-0.7909342487386386
20150831,-0.4918530429675121
20150901,-0.6262400538089201
20150902,-0.6659699135504076
20150903,-0.9480878760675936
20150904,0.1413597698151361
20150907,-0.424398164612497
20150908,-0.21815917730026868
20150909,-0.29180286475622363
20150910,0.24965874774671326
20150911,0.19397090287747387
20150914,0.9955231484794775
20150915,0.44503125941514865
20150916,0.6798655425413167
20150917,0.5568795049474875
20150918,-0.10762358784303172
20150921,0.18741171399582768
20150922,0.23213606753349111
20150923,0.1672758251498061
20150924,-0.6001746845612865
20150925,0.06372008767416504
20150930,0.08046804382447736
20151001,-0.11326495223438227
20151002,0.020129268662408162
20151005,-0.014409667236817691
20151006,-0.5660638198240138
20151007,-0.5032893620805029
20151008,-0.526454553733936
20151012,-0.6941045349557681
20151013,-0.49564940400841206
20151014,-0.569252431410344
20151015,-0.6119880037278094
20151016,-0.3919281524654036
20151019,-0.09533874850589152
20151020,-0.15420826788251052
20151021,0.0773431364223407
20151022,0.6598012334947181
20151023,0.6984498134452097
20151026,0.5729969605995002
20151027,-0.25383112161438537
20151028,-0.6106994180734493
20151029,-0.37920914579522286
20151030,0.19911770791890204
20151102,-0.151404180821197
20151103,-0.2277659121891702
20151104,-0.34345598714889425
20151105,-0.2912298992337523
20151106,-0.1287687795336816
20151109,0.3846669215604539
20151110,0.828686985023575
20151111,1.075225702588423
20151112,0.41475258551234234
20151113,0.355064719553692
20151116,0.38246534544834176
20151117,-0.15608291885219083
20151118,0.3945591094614449
20151119,0.3804154607602399
20151120,0.4580893962851089
20151123,0.009005817721197733
20151124,0.7271619390104433
20151125,0.5124347602736327
20151126,0.3015962713389615
20151127,-0.356432906810634
20151130,-0.7600263307041022
20151201,-0.3210010573470452
20151202,-0.4259797704540076
20151203,-0.6755550407971951
20151204,-0.19376223533268222
20151207,-0.7352617964229848
20151208,0.04172340358244586
20151209,-0.0646011970329583
20151210,-0.10382846940767254
20151211,0.7370780546279398
20151214,1.1131570221300562
20151215,0.35367634174703255
20151216,0.3766371619141293
20151217,0.25256223871500544
20151218,0.17861225457207963
20151221,1.2460555998804068
20151222,1.1346512958608477
20151223,1.1080561784935203
20151224,0.9279674677887937
20151228,1.5720932093629632
20151229,0.5363786827002919
20151230,0.3730412808151129
20160104,0.2830764853693628
20160105,0.33455364331448756
20160106,-0.15805959844005835
20160107,0.035674983786160464
20160108,-0.160272587412994
20160111,0.5597760235919631
20160112,0.12381416777881543
20160113,0.08834350488423226
20160114,-0.0718275387323084
20160115,0.28954840579633356
20160118,0.08760747017574891
20160119,0.7547371342522098
20160120,0.4389556805939252
20160121,0.9860779200369292
20160122,0.5447761454339783
20160125,0.86636356940702
20160126,1.3421390277634617
20160127,0.8224932649903507
20160128,0.9880197835605694
20160129,0.3248778852858794
20160201,-0.44783772483705064
20160202,-1.0868637637544474
20160203,-0.9895491289155744
20160204,-1.2392721179287784
20160205,-1.5753318778721948
20160211,-0.7974003626082322
20160212,0.09919862824578995
20160215,-0.1573971192274275
20160216,0.23091455765557312
20160217,0.8644218772368473
20160218,0.613732094060466
20160219,0.6721498369161427
20160222,0.06686599409858877
20160223,0.6163045460490904
20160224,0.5852147589633514
20160225,0.05582349251480467
20160226,-0.2026000548151774
20160229,-0.5042863075881683
20160302,-0.2691832581896272
20160303,-0.156597072884763
20160304,0.2978927571268446
20160307,0.6346253180793431
20160308,0.6022786979637679
20160309,0.6379159320873902
20160310,0.22177695814582132
20160311,-0.14427892801338865
20160314,-0.37902555247793895
20160315,-0.1640325601512942
20160316,-0.34830786550597126
20160317,-0.24958422773547437
20160318,-0.2440430051105229
20160321,-0.1399197034314753
20160322,-0.21340446776964073
